book_name,author,book_url,img_url,rating,pages,pub_date,genres,genres_clean,synopsis,data_source,source_list,cluster_f1b,cluster_name,clusterable,mood_scored,mood,mood_secondary,emotion,emotion_secondary,emotion_conf,mood_low_conf,emo_anger,emo_disgust,emo_fear,emo_joy,emo_neutral,emo_sadness,emo_surprise
Persuasion,Jane Austen,https://play.google.com/store/books/details?id=UrrTEQAAQBAJ&source=gbs_api,http://books.google.com/books/content?id=UrrTEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.12,260.0,2026,Fiction,['fiction'],"Discover the timeless allure of love and second chances with Jane Austen's Persuasion. Persuasion, Jane Austen's final completed novel, is a masterful exploration of hope, regret, and the enduring power of love. Set in the early 19th century, the story follows Anne Elliot, a woman of quiet dignity and intelligence, who once was persuaded to reject the love of her life, Captain Frederick Wentworth, due to societal pressures and her own doubts. Years later, circumstances bring them back into each other's lives, igniting a rekindling of feelings and challenging their perceptions of worth and happiness. Austen's keen insight into human nature and her sharp wit shine through as she examines themes of social class, personal growth, and the resilience of the human spirit. The novel's nuanced characters and elegant prose make it a compelling read that resonates across generations. Austen's portrayal of Anne's inner strength and the subtle critique of societal expectations elevate Persuasion beyond a simple romance, making it a profound reflection on the importance of authenticity and perseverance in love and life.Jane Austen (1775–1817) was an English novelist renowned for her keen social commentary and pioneering contributions to the romance genre. Her works, including Pride and Prejudice, Sense and Sensibility, and Emma, are celebrated for their wit, humor, and insightful depiction of early 19th-century English society. Austen's writing continues to captivate readers worldwide, admired for its timeless themes, memorable characters, and elegant style. Her legacy endures as one of the most influential authors in English literature, offering a window into her era while exploring universal human experiences.",google_books,Best Books Ever,,,False,True,Contemplative,Uplifting,neutral,joy,0.6617201566696167,False,0.004315000027418137,0.013510245829820633,0.003205941990017891,0.28571727871894836,0.6617201566696167,0.022950321435928345,0.008580993860960007
Max Havelaar,Multatuli Multatuli,http://books.google.de/books?id=Wc9f0QEACAAJ&dq=subject:fiction&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=Wc9f0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,0.0,2025,Fiction,['fiction'],"Max Havelaar is a powerful critique of colonialism and social injustices, set against the backdrop of the Dutch colonial exploitation of the Javanese people. The narrative follows a coffee broker in Amsterdam, who offers a no-nonsense perspective on his profession, dismissing idealized notions of romance and poetry in favor of what he believes is practical and truthful business. As the story unfolds, the broker reflects on the moral corruption inherent in the coffee trade and begins to address the darker realities of colonial oppression. The novel explores the exploitation of indigenous labor, with a focus on the Javanese people s suffering under Dutch rule. It exposes the social and economic structures that perpetuate injustice, highlighting the personal and societal consequences of such systems. The novel offers a poignant examination of moral decay, weaving personal reflections with a broader critique of imperialism, corruption, and exploitation. Through its narrative, it challenges the reader to confront the uncomfortable truths about colonialism and the human cost of profit-driven industries.",google_books,Best Books Ever,,,False,True,Gritty,Contemplative,disgust,neutral,0.8282919526100159,False,0.023032158613204956,0.8282919526100159,0.013867529109120369,0.004171786829829216,0.07244263589382172,0.05645327270030975,0.0017407005652785301
White fang,Jack London,https://play.google.com/store/books/details?id=QR9rEQAAQBAJ&source=gbs_api,http://books.google.com/books/content?id=QR9rEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.0,171.0,2025,Fiction,['fiction'],"In ush.the wild Yukon Territory, a fierce wolf-dog struggles to survive the harsh wilderness. Born of a wolf and raised among men, White Fang learns the brutal laws of nature and the cruelty of mankind. But amidst the violence, a glimmer of hope shines through when he encounters kindness for the first time. Will White Fang find his place in a world of man and beast, or be consumed by the savage forces around him?",google_books,20th Century Literature,,,False,True,Intense,Melancholic,anger,sadness,0.6561521887779236,False,0.6561521887779236,0.06055477261543274,0.08635912835597992,0.039473701268434525,0.0277594942599535,0.12823797762393951,0.0014626974007114768
Lights Out,Jenni Fletcher,http://books.google.de/books?id=8beX0AEACAAJ&dq=subject:%22young+adult%22&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=8beX0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.042145593869732,0.0,2024,Romance|Sports Romance|Sports|Fake Dating|Contemporary|Forced Proximity|Racing|Young Adult|Contemporary Romance,"['contemporary', 'romance', 'young_adult']","Trauma nurse Aly Cappellucci doesn’t need any more kinks. She likes the one she’s landed on just fine. To her, nothing could top the masked men she follows online. Unless one of those men was shirtless, heavily tattooed, and waiting for her in her bedroom. 

She dreams about being hunted by one in particular, of him chasing her down and doing deliciously dark things to her willing body. She never could have guessed that by sending one drunken text, those dreams would become her new reality.

I want things most people don’t, craving darkness and depravity instead of light and love.

Josh Hammond has spent his life avoiding the limelight, but his online persona is another story. At night, he posts masked thirst traps for his millions of fans to drool over, but one follower has caught his eye: Aly. After reading a comment begging him to break into her house wearing a mask, he decides to take her up on her offer.

Together, Aly and Josh live out their darkest fantasies, unaware that Aly has captured the attention of someone else. Someone with far more sinister intentions than a little light stalking. 

As Josh turns from predator to protector and the stakes heighten, he must ask himself how far he’s willing to go for the woman he’s obsessed with.",google_books,Young Adult,4.0,Contemporary + Young Adult,True,True,Suspenseful,Contemplative,fear,neutral,0.3383651673793793,True,0.06552371382713318,0.19797304272651672,0.3383651673793793,0.00552918016910553,0.336857408285141,0.05153492093086243,0.004216584376990795
The Day After Judgment,James Blish,http://books.google.de/books?id=coXl0AEACAAJ&dq=subject:classics&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=coXl0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,0.0,2024,Fiction,['fiction'],"The powerful black magician Theron Ware has opened the gates of Hell and unleashed an army of demons. Chaos and destruction prevail, and most of the world lies smouldering in ruins. But in a bunker beneath the ashes of Denver a small group of survivors are determined not to submit to the forces of evil. They summon the nuclear powers of the country's military arsenal to destroy Hell, but what can men do against the almighty evil that is Satan himself? A direct sequel to Hugo Award winner James Blish's occult classic Black Easter (1968), The Day After Judgment (1971) can also be read as a standalone book. Like its predecessor, it features a blend of horror, science fiction, fantasy, philosophy, and black humor that makes it quite unlike anything else you have ever read.",google_books,Books You Should Read,,,False,True,Contemplative,Suspenseful,neutral,fear,0.4900384843349457,False,0.012116808444261551,0.07014751434326172,0.3788806200027466,0.019284788519144058,0.4900384843349457,0.020092619583010674,0.009439160116016865
Blades of Destiny,James Raquepau,https://www.goodreads.com/book/show/208448191-blades-of-destiny-book-one-an-epic-fantasy-of-war-fate-in-mythic-i,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1782552897i/208448191.jpg,4.93,335.0,2024,Fantasy|Historical Fiction,"['fantasy', 'fiction', 'historical']","Lann Dàn – Blades of Destiny Revised Edition IIIHer gods have set her on a path. Magical Blades await. Can she rise as Erin’s Hero?For nearly two decades, a geas-driven warrior woman born of both bloods has lived under the harsh rule of a Norse Jarl who invaded her land. Raiders turned settlers now refuse to leave Erin, and her gods are about to force a reckoning.In ancient Ireland, where the Tuatha De Danann walk hidden among mortals, clans fracture beneath the weight of conquest and uneasy truces. Storms still gather over the northern seas. And deep beneath Erin’s hills, old magic, lost and dangerous, stirs once more.Breanna chooses direct conflict. Her Gaelic gods demand more. To rise as Erin’s Hero, she must seek ancient relics, wield more than steel, and uncover the truth of her lineage. All while confronting the perils of divine manipulation and deciding whether she will submit to the fate others would forge for her, or carve her own with the Blades of Destiny.If she fails, the Emerald Isle will not merely fall.It will be claimed forever by gods who feast on conquest and ash.Lann Dàn – Blades of Destiny Revised Edition III (Dàn Cycle One) is Now Available in eBook, Paperback, Hardback, and Audiobook formats. Get your copy today!",GoodReads,The Best Epic Fantasy (fiction),5.0,Fantasy + Science Fiction,True,True,Suspenseful,Contemplative,fear,neutral,0.5414702296257019,False,0.16270673274993896,0.03374147415161133,0.5414702296257019,0.0026514274068176746,0.20758740603923798,0.046741586178541183,0.005101167596876621
Jane Eyre (Masterpiece Library Edition),Charlotte Brontë,http://books.google.de/books?id=0cUl0AEACAAJ&dq=subject:fiction&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=0cUl0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,0.0,2024,Classics|Fiction|Romance|Gothic|Historical Fiction|Literature|Historical,"['classics', 'fiction', 'historical', 'literary', 'romance']","Intelligent, resolute Jane Eyre survives grim hardship, seeks her own path, and weathers the storms of passion in an intimate, complex classic that changed the course of literary fiction. Rediscover this beloved classic in an elegant keepsake edition, honoring the Peter Pauper Press tradition of publishing beautiful books.",google_books,Best Books Ever,3.0,"Historical, Classics",True,True,Contemplative,Uplifting,neutral,joy,0.44155174493789673,False,0.009834754280745983,0.014104085974395275,0.14274407923221588,0.24534577131271362,0.44155174493789673,0.1427379697561264,0.0036816406063735485
The Time Machine,H.G. Wells,http://books.google.de/books?id=b4VZ0QEACAAJ&dq=subject:classics&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=b4VZ0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02,0.0,2024,Self-experimentation in medicine in fiction|Fiction|Time travel in fiction|Dystopias in fiction|Literature|Scientists|Classic Literature|Open Library Staff Picks|Scientists in fiction|Space warfare|Self-experimentation in medicine|open_syllabus_project|English Science fiction|Dystopias|Time travel,"['classics', 'fiction', 'historical', 'literary', 'science_fiction']","First published in 1895, The Time Machine won author H.G. Wells immediate recognition and has been regarded ever since as one of the great masterpieces in the literature of science fiction. It popularized the concept of time travel and introduced the concept of a ""time machine"" device that could travel forwards and backwards through the years. It is the story of one man’s astonishing journey beyond the conventional limits of the imagination. 

One of the most renowned works of science fiction, The Time Machine reflects on the adventures of The Time Traveler - a man who constructs a machine which allows him to explore what the future has to offer. When he courageously steps out of his machine for the first time, he finds himself in the year 802,701—and everything has changed. In this unfamiliar utopian age, creatures seem to dwell together in perfect harmony. Thinking he can study these marvelous beings and unearth their secret then return to his own time, he discovers that his only avenue of escape, his invention, has been stolen. 

Wells is generally credited with the popularization of the concept of time travel by using a vehicle that allows an operator to travel purposefully and selectively. The term ""time machine"", which was coined by Wells, is now universally used to refer to such a vehicle. The book has been adapted for a number of films and television shows, as well as inspiring other science fiction writers.",google_books,Books You Should Read,3.0,"Historical, Classics",True,True,Contemplative,Suspenseful,neutral,fear,0.6470862030982971,False,0.050970982760190964,0.040403470396995544,0.17665264010429382,0.018406102433800697,0.6470862030982971,0.011339453980326653,0.0551411397755146
The Great Gatsby,F. Scott Fitzgerald,http://books.google.de/books?id=faNh0QEACAAJ&dq=subject:fiction&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=faNh0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93,0.0,2024,Classics|Fiction|School|Historical Fiction|Romance|Literature|Novels,"['classics', 'fiction', 'historical', 'literary', 'romance', 'young_adult']","Alternate covers of this ISBN can be foundhere,hereandhere.The only edition of the beloved classic that is authorized by Fitzgerald’s family and from his lifelong publisher.This edition is the enduring original text, updated with the author’s own revisions, a foreword by his granddaughter, and with a new introduction by National Book Award winner Jesmyn Ward.The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published by Scribner in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan is an exquisitely crafted tale of America in the 1920s.",google_books,Best Books Ever,3.0,"Historical, Classics",True,True,Contemplative,Uplifting,neutral,joy,0.6015509963035583,False,0.00897020660340786,0.002768132137134671,0.0021467972546815872,0.2654768228530884,0.6015509963035583,0.010336743667721748,0.10875031352043152
The Wonderful Wizard of Oz,L. Frank Baum,http://books.google.de/books?id=COYTEQAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=COYTEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.94,166.0,2024,Fiction,['fiction'],"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",google_books,Best Epic Fantasy,,,False,True,Suspenseful,Contemplative,fear,neutral,0.5023584365844727,False,0.0223690252751112,0.023162223398685455,0.5023584365844727,0.012803683988749981,0.3066490590572357,0.03152700886130333,0.10113051533699036
